Originador;Doc Originador;Cedente;Doc Cedente;CCB;Id;Cliente;CPF/CNPJ;Endereço;CEP;Cidade;UF;Valor do Empréstimo;Taxa de Juros (a.m.);Parcela R$;Principal R$;Juros R$;IOF R$;Comissão R$;Total Parcelas;Parcela #;Multa;Mora;Data de Emissão;Data de Vencimento;Data de Compra CCB;Preço de Aquisição
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;379654;12358;Pessoa exemplo 1;12.345.678/0001-10;R RODOVIA ADMAR GONZAGA 125;60752040;FLORIANOPOLIS;SC;127,86;0,0255;17,87;14,12;3,75;1,2;0,71;8;1;0.0;0.0;10/05/2022;14/06/2022;26/05/2022;14.83
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;379654;12359;Pessoa exemplo 1;12.345.678/0001-10;R RODOVIA ADMAR GONZAGA 125;60752040;FLORIANOPOLIS;SC;127,86;0,0255;17,87;15,01;2,86;1,2;0,75;8;2;0.0;0.0;10/05/2022;14/07/2022;26/05/2022;15.76
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;379654;12360;Pessoa exemplo 1;12.345.678/0001-10;R RODOVIA ADMAR GONZAGA 125;60752040;FLORIANOPOLIS;SC;127,86;0,0255;17,87;15,3;2,57;1,2;0,76;8;3;0.0;0.0;10/05/2022;14/08/2022;26/05/2022;16.06
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;379654;12361;Pessoa exemplo 1;12.345.678/0001-10;R RODOVIA ADMAR GONZAGA 125;60752040;FLORIANOPOLIS;SC;127,86;0,0255;17,87;15,7;2,17;1,2;0,78;8;4;0.0;0.0;10/05/2022;14/09/2022;26/05/2022;16.48
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;379654;12362;Pessoa exemplo 1;12.345.678/0001-10;R RODOVIA ADMAR GONZAGA 125;60752040;FLORIANOPOLIS;SC;127,86;0,0255;17,87;16,17;1,7;1,2;0,81;8;5;0.0;0.0;10/05/2022;14/10/2022;26/05/2022;16.98
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;379654;12363;Pessoa exemplo 1;12.345.678/0001-10;R RODOVIA ADMAR GONZAGA 125;60752040;FLORIANOPOLIS;SC;127,86;0,0255;17,87;16,53;1,34;1,2;0,83;8;6;0.0;0.0;10/05/2022;14/11/2022;26/05/2022;17.36
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;379654;12364;Pessoa exemplo 1;12.345.678/0001-10;R RODOVIA ADMAR GONZAGA 125;60752040;FLORIANOPOLIS;SC;127,86;0,0255;17,87;16,99;0,88;1,2;0,85;8;7;0.0;0.0;10/05/2022;14/12/2022;26/05/2022;17.84
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;379654;12365;Pessoa exemplo 1;12.345.678/0001-10;R RODOVIA ADMAR GONZAGA 125;60752040;FLORIANOPOLIS;SC;127,86;0,0255;18,51;18,04;0,47;1,2;0,9;8;8;0.0;0.0;10/05/2022;14/01/2023;26/05/2022;18.94
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;402030;12366;Pessoa exemplo 2;12.345.678/0001-10;R AUGUSTA 15 ;74483015;SAO PAULO;SP;585,49;0,0239;81,27;65,17;16,1;5,49;3,26;8;1;0.0;0.0;11/05/2022;14/06/2022;26/05/2022;68.43
EMPIRICA INVESTIMENTOS;10.896.871/0001-99;EMPIRICA HOLDING S.A.;42351640000196;402030;12367;Pessoa exemplo 2;12.345.678/0001-10;R AUGUSTA 15 ;74483015;SAO PAULO;SP;585,49;0,0239;81,27;69;12,27;5,49;3,45;8;2;0.0;0.0;11/05/2022;14/07/2022;26/05/2022;72.45
